Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Gorkha,380.0,1000.0,Buckwheat,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,380.0,September,Gandaki
2010,Gorkha,4120.0,1757.0,Wheat,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,7238.84,November,Gandaki
2010,Gorkha,110.0,1000.0,Barley,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,110.0,November,Gandaki
2010,Gulmi,10426.0,2350.0,Rice,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,24501.1,July,Lumbini
2010,Gulmi,24845.0,1767.0,Maize,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,43901.115,April,Lumbini
2010,Gulmi,2916.0,980.0,Millet,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,2857.68,August,Lumbini
2010,Gulmi,195.0,1046.0,Buckwheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,203.97,September,Lumbini
2010,Gulmi,8100.0,1950.0,Wheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,15795.0,November,Lumbini
2010,Gulmi,380.0,1500.0,Barley,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,6.1,980.0,570.0,November,Lumbini
2010,Humla,565.0,1382.0,Rice,-0.023616438,6.600931507,-5.543424658,66.24153425,566.41,7263.37,3036.87,2.001260274,6.5,529.0,780.83,July,Karnali
2010,Humla,105.0,1524.0,Maize,-0.023616438,6.600931507,-5.543424658,66.24153425,566.41,7263.37,3036.87,2.001260274,6.5,529.0,160.02,April,Karnali
